Language,Artist,Song,Jury,Public,Total Points,Year,Country,Draw,BPM,Key,Standing
English,Netta Barzilai,Toy,212,317,529,2018,israel,22,130,E b MINOR,1
English,Eleni Foureira,Fuego,183,253,436,2018,cyprus,25,101,B MINOR,2
English,Cesár Sampson,Nobody but you,271,71,342,2018,austria,5,85,B MINOR,3
English,Michael Schulte,You let me walk alone,204,136,340,2018,germany,11,75,B MAJOR,4
Italian,Ermal Meta & Fabrizio Moro,Non mi avete fatto niente,59,249,308,2018,italy,26,90,G b MAJOR,5
English,Mikolas Josef,Lie to me,66,215,281,2018,czech republic,14,106,G b MAJOR,6
English,Benjamin Ingrosso,Dance you off,253,21,274,2018,sweden,20,109,A b MAJOR,7
Italian,Elina Netsjajeva,La forza,143,102,245,2018,estonia,6,94,D MINOR,8
English,Rasmussen,Higher ground,38,188,226,2018,denmark,15,82,B MINOR,9
English,DoReDoS,My lucky day,94,115,209,2018,moldova,19,122,B MINOR,10
Albanian ,Eugent Bushpepa,Mall,126,58,184,2018,albania,12,190,E MAJOR,11
English,Ieva Zasimauskaitė,When we're old,90,91,181,2018,lithuania,4,179,B b MAJOR,12
French,Madame Monsieur,Mercy,114,59,173,2018,france,13,97,E MINOR,13
English,Equinox,Bones,100,66,166,2018,bulgaria,18,88,G bMINOR,14
English,Alexander Rybak,That's how you write a song,60,84,144,2018,norway,7,104,F MINOR,15
English,Ryan O'Shaughnessy,Together,74,62,136,2018,ireland,24,94,F MAJOR,16
English,Mélovin,Under the ladder,11,119,130,2018,ukraine,1,140,B b MINOR,17
English,Waylon,Outlaw in 'em,89,32,121,2018,netherlands,23,87,B MINOR,18
Serbian,Sanja Ilić & Balkanika,Nova deca,38,75,113,2018,serbia,10,125,B MINOR,19
English,Jessica Mauboy,We got love,90,9,99,2018,australia,16,114,G MAJOR,20
Hungarian ,AWS,Viszlát nyár,28,65,93,2018,hungary,21,164,E b MINOR,21
Slovene,Lea Sirk,"Hvala, ne!",41,23,64,2018,slovenia,3,140,D b MAJOR,22
Spanish,Alfred & Amaia,Tu canción,43,18,61,2018,spain,2,121,C MAJOR,23
English,SuRie,Storm,23,25,48,2018,united kingdom,9,116,B b MAJOR,24
English,Saara Aalto,Monsters,23,23,46,2018,finlands,17,122,C MINOR,25
Portugees,Cláudia Pascoal,O jardim,21,18,39,2018,portugal,8,120,A# MAJOR,26
English,Duncan Laurence,Arcade,261,237,498,2019,netherlands,12,72,A MINOR,1
Italian,Mahmood,Soldi,253,219,472,2019,italy,22,95,E b MINOR,2
English,Sergej Lazarev,Scream,244,126,370,2019,russia,5,128,C MAJOR,3
English,Luca Hänni,She got me,212,152,364,2019,switzerland,24,97,B MINOR,4
English,John Lundvik,Too late for love,93,241,334,2019,sweden,9,104,C MAJOR,5
English and Samisch,KEiiNO,Spirit in the sky,291,40,331,2019,norway,15,122,A MINOR,6
English,Tamara Todevska,Proud,58,247,305,2019,north macedonia,8,92,C MINOR,7
English,Chingiz,Truth,100,202,302,2019,azerbaijan,20,100,A b MINOR,8
English,Kate Miller-Heidke,Zero gravity,131,153,284,2019,australia,25,132,F # MAJOR,9
Icelandic,Hatari,Hatrið mun sigra,186,46,232,2019,iceland,17,110,E MINOR,10
English,Lake Malawi,Friend of a friend,7,150,157,2019,czech republic,3,106,A MINOR,11
"English, French and Danish",Leonora,Love is forever,51,69,120,2019,denmark,6,136,C # MAJOR,12
English,Tamta,Replay,32,77,109,2019,cyprus,11,102,B MINOR,13
English,Michela,Chameleon,20,87,107,2019,malta,1,98,B b MINOR,14
Slovene,Zala Kralj & Gašper Šantl,Sebi,59,46,105,2019,slovenia,10,122,F # MINOR,15
English and French,Bilal Hassani,Roi,38,67,105,2019,france,21,140,F# MINOR,16
